BARCAŚ	(.|#|)bartsaS(.|#|)
HUR	(.|#|)hur(.|#|)
HURAHOWANJAM	(.|#|)hurahOwanjam(.|#|)
HURAHOWANJAM	(.|#|)hurahowanjam(.|#|)
HURAHUJO	(.|#|)hurahujO(.|#|)
HURAPATRIOTKOWU	(.|#|)hurapatriOtkOwu(.|#|)
HURAPATRIOTKOWU	(.|#|)hurapatriOtkowu(.|#|)
HURARNJOMA	(.|#|)hurarnjOma(.|#|)
HURAZCE	(.|#|)huraztsE(.|#|)
HURBAŃCAMI	(.|#|)hurbajntsami(.|#|)
HURBJEŃCAMI	(.|#|)hurb(j|)Ejntsami(.|#|)
HURBJEŃCAMI	(.|#|)hurb(j|)ejntsami(.|#|)
HUROMA	(.|#|)hurOma(.|#|)
HURSKI	(.|#|)hurski(.|#|)
HURU	(.|#|)huru(.|#|)
HUS	(.|#|)hus(.|#|)
HUSANOM	(.|#|)husanOm(.|#|)
HUSCE	(.|#|)hustsE(.|#|)
HUSE	(.|#|)husE(.|#|)
HUSITSKIMI	(.|#|)husitskimi(.|#|)
HUSIŚE	(.|#|)husiSE(.|#|)
HUSK	(.|#|)husk(.|#|)
HUSOCKA	(.|#|)husOtska(.|#|)
HUSOKANARKAMI	(.|#|)husOkanarkami(.|#|)
HUSOKANAŔKAMI	(.|#|)husOkanarkami(.|#|)
HUSOKIM	(.|#|)husOkim(.|#|)
HUSU	(.|#|)husu(.|#|)
HUTA	(.|#|)huta(.|#|)
HUTCE	(.|#|)huttsE(.|#|)
HUTK	(.|#|)hutk(.|#|)
HUTKOWU	(.|#|)hutkOwu(.|#|)
HUTKOWU	(.|#|)hutkowu(.|#|)
HUTOWNIKOMA	(.|#|)hutOunikOma(.|#|)
HUTOWNIKOMA	(.|#|)hutounikUma(.|#|)
HUTU	(.|#|)hutu(.|#|)
HUTY	(.|#|)hut1(.|#|)
HUZAROW	(.|#|)huzarO(.|#|)
HUZAROW	(.|#|)huzaro(.|#|)
HUZKEM	(.|#|)huskEm(.|#|)
HUZKIMI	(.|#|)huskimi(.|#|)
HUŔ	(.|#|)hur(.|#|)
HUŔMY	(.|#|)hurm1(.|#|)
HUŔMY	(.|#|)hurmU(.|#|)
HUŔŚO	(.|#|)hurSO(.|#|)
HUŚAWCE	(.|#|)huSautsE(.|#|)
HUŚAWKAM	(.|#|)huSaukam(.|#|)
HUŚE	(.|#|)huSE(.|#|)
HUŠ	(.|#|)huS(.|#|)
HUŠAGORJAŃSKI	(.|#|)huSagOrjajnski(.|#|)
HUŠCE	(.|#|)huStsE(.|#|)
HUŠK	(.|#|)huSk(.|#|)
HUŠKAJUCYMI	(.|#|)huSkajuts1mi(.|#|)
HUŠKAŚO	(.|#|)huSkaSO(.|#|)
HUŠOGÓRJAŃSKU	(.|#|)huSOgUrjajnsku(.|#|)
HUŠTANJOWU	(.|#|)huStanjOwu(.|#|)
HUŠTANJOWU	(.|#|)huStanjowu(.|#|)
HUŠTAŃSKEJU	(.|#|)huStajnskeju(.|#|)
HUŽ	(.|#|)huS(.|#|)
HUŽACH	(.|#|)huZax(.|#|)
HUŽCE	(.|#|)huZtsE(.|#|)
HUŽE	(.|#|)huZE(.|#|)
HUŽKOWU	(.|#|)huSkOwu(.|#|)
HUŽKOWU	(.|#|)huSkowu(.|#|)
HUŽOM	(.|#|)huZOm(.|#|)
HUŽU	(.|#|)huZu(.|#|)
HYADACH	(.|#|)h1adax(.|#|)
HYBLIKU	(.|#|)h1bliku(.|#|)
HYCAMI	(.|#|)h1tsami(.|#|)
HYCH	(.|#|)h1x(.|#|)
HYCOW	(.|#|)h1tsO(.|#|)
HYCOW	(.|#|)h1tso(.|#|)
HYCU	(.|#|)h1tsu(.|#|)
HYCY	(.|#|)h1ts1(.|#|)
HYDROLOGIJOWU	(.|#|)h1drOlOgijOwu(.|#|)
HYDROLOGIJOWU	(.|#|)h1drOlOgijowu(.|#|)
HYKAMY	(.|#|)h1kam1(.|#|)
HYKAMY	(.|#|)h1kamU(.|#|)
HYKAWA	(.|#|)h1kawa(.|#|)
HYKNJOMY	(.|#|)h1knjOm1(.|#|)
HYKNJOMY	(.|#|)h1knjOmU(.|#|)
HYKŠ	(.|#|)h1kS(.|#|)
HYKŠACH	(.|#|)h1kSax(.|#|)
HYKŠE	(.|#|)h1kSE(.|#|)
HYKŠOWCE	(.|#|)h1kSOutsE(.|#|)
HYKŠOWCE	(.|#|)h1kSoutsE(.|#|)
HYLŽACH	(.|#|)h1lZax(.|#|)
HYLŽAM	(.|#|)h1lZam(.|#|)
HYLŽBJETOWU	(.|#|)h1lZb(j|)EtOwu(.|#|)
HYLŽBJETOWU	(.|#|)h1lZb(j|)Etowu(.|#|)
HYLŽCE	(.|#|)h1lZtsE(.|#|)
HYLŽEŃC	(.|#|)h1lZEjnts(.|#|)
HYLŽEŃC	(.|#|)h1lZejnts(.|#|)
HYLŽKACH	(.|#|)h1lZkax(.|#|)
HYLŽKI	(.|#|)h1lZki(.|#|)
HYLŽKOMA	(.|#|)h1lZkOma(.|#|)
HYLŽKOMA	(.|#|)h1lZkUma(.|#|)
HYLŽKU	(.|#|)h1lZku(.|#|)
HYLŽOMA	(.|#|)h1lZOma(.|#|)
HYLŽOWU	(.|#|)h1lZOwu(.|#|)
HYLŽOWU	(.|#|)h1lZowu(.|#|)
HYLŽU	(.|#|)h1lZu(.|#|)
HYLŽYCKOWU	(.|#|)h1lZ1tskOwu(.|#|)
HYLŽYCKOWU	(.|#|)h1lZ1tskowu(.|#|)
HYMBJERJU	(.|#|)h1mb(j|)Erju(.|#|)
HYMNAMI	(.|#|)h1mnami(.|#|)
HYMP	(.|#|)h1mp(.|#|)
HYMPAŃSKE	(.|#|)h1mpajnskE(.|#|)
HYMPOLECEJ	(.|#|)h1mpOlEtsej(.|#|)
HYMPOTAŚ	(.|#|)h1mpOtaS(.|#|)
HYN	(.|#|)h1n(.|#|)
HYNACEJBYŚIM	(.|#|)h1natsejb1Sim(.|#|)
HYNAKŠOSĆACH	(.|#|)h1nakSOstSax(.|#|)
HYNAKŠOSĆACH	(.|#|)h1nakSOStSax(.|#|)
HYNC	(.|#|)h1nts(.|#|)
HYNCOJU	(.|#|)h1ntsOju(.|#|)
HYNCU	(.|#|)h1ntsu(.|#|)
HYNDALEJ	(.|#|)h1ndalej(.|#|)
HYNGA	(.|#|)h1nga(.|#|)
HYNKOWOW	(.|#|)h1nkOwO(.|#|)
HYNKOWOW	(.|#|)h1nkowo(.|#|)
HYNŹEJ	(.|#|)h1nZej(.|#|)
HYNŹI	(.|#|)h1nZi(.|#|)
HYPCE	(.|#|)h1ptsE(.|#|)
HYPKOJU	(.|#|)h1pkOju(.|#|)
HYPNOTIZERKACH	(.|#|)h1pnOtizErkax(.|#|)
HYPOTEZOW	(.|#|)h1pOtEzO(.|#|)
HYPOTEZOW	(.|#|)h1pOtEzo(.|#|)
HYPT	(.|#|)h1pt(.|#|)
HYPTOJU	(.|#|)h1ptOju(.|#|)
HYPTY	(.|#|)h1pt1(.|#|)
HYPŚE	(.|#|)h1pSE(.|#|)
HYSIJOW	(.|#|)h1sijO(.|#|)
HYSIJOW	(.|#|)h1sijo(.|#|)
HYSYNOW	(.|#|)h1s1nO(.|#|)
HYSYNOW	(.|#|)h1s1no(.|#|)
HYT	(.|#|)h1t(.|#|)
HYTŠKNJONEMU	(.|#|)h1tSknjOnEmu(.|#|)
HYTŠKNUŁ	(.|#|)h1tSknuw(.|#|)
HYZYJE	(.|#|)h1z1jE(.|#|)
HYZYJOWU	(.|#|)h1z1jOwu(.|#|)
HYZYJOWU	(.|#|)h1z1jowu(.|#|)
HYŚ	(.|#|)h1S(.|#|)
HYŚOWU	(.|#|)h1SOwu(.|#|)
HYŚOWU	(.|#|)h1Sowu(.|#|)
HYŠĆI	(.|#|)h1StSi(.|#|)
HYŽAMI	(.|#|)h1Zami(.|#|)
HYŽE	(.|#|)h1ZE(.|#|)
HYŽOW	(.|#|)h1ZO(.|#|)
HYŽOW	(.|#|)h1Zo(.|#|)
HĚTACH	(.|#|)jitax(.|#|)
HĚTOW	(.|#|)jitO(.|#|)
HĚTOW	(.|#|)jito(.|#|)
HĚTU	(.|#|)jitu(.|#|)
HĚTY	(.|#|)jit1(.|#|)
HĚŚE	(.|#|)jiSE(.|#|)
I	(.|#|)i(.|#|)
I	(.|#|)Qi(.|#|)
IBISU	(.|#|)ibisu(.|#|)
IBISU	(.|#|)Qibisu(.|#|)
IC	(.|#|)its(.|#|)
IC	(.|#|)Qits(.|#|)
ICE	(.|#|)itsE(.|#|)
ICE	(.|#|)QitsE(.|#|)
IDEALISTKA	(.|#|)idEalistka(.|#|)
IDEALISTKA	(.|#|)QidEalistka(.|#|)
IDEALNJE	(.|#|)idEaln(j|)E(.|#|)
IDEALNJE	(.|#|)QidEaln(j|)E(.|#|)
IDEALOWU	(.|#|)idEalOwu(.|#|)
IDEALOWU	(.|#|)idEalowu(.|#|)
IDEALOWU	(.|#|)QidEalOwu(.|#|)
IDEALOWU	(.|#|)QidEalowu(.|#|)
IDEJA	(.|#|)ideja(.|#|)
IDEJA	(.|#|)Qideja(.|#|)
IDEJKA	(.|#|)idejka(.|#|)
IDEJKA	(.|#|)Qidejka(.|#|)
IDEJOWEJU	(.|#|)idejOweju(.|#|)
IDEJOWEJU	(.|#|)idejoweju(.|#|)
IDEJOWEJU	(.|#|)QidejOweju(.|#|)
IDEJOWEJU	(.|#|)Qidejoweju(.|#|)
IDIOTIZM	(.|#|)idiOtizm(.|#|)
IDIOTIZM	(.|#|)QidiOtizm(.|#|)
IGLUJOTEJ	(.|#|)iglujOtej(.|#|)
IGLUJOTEJ	(.|#|)QiglujOtej(.|#|)
IGNORĚRUJOMEJ	(.|#|)ignOrjirujOmej(.|#|)
IGNORĚRUJOMEJ	(.|#|)QignOrjirujOmej(.|#|)
ILEGALITOMA	(.|#|)ilEgalitOma(.|#|)
ILEGALITOMA	(.|#|)QilEgalitOma(.|#|)
ILEGALNOSĆ	(.|#|)ilEgalnOstS(.|#|)
ILEGALNOSĆ	(.|#|)ilEgalnOStS(.|#|)
ILEGALNOSĆ	(.|#|)QilEgalnOstS(.|#|)
ILEGALNOSĆ	(.|#|)QilEgalnOStS(.|#|)
ILEKSA	(.|#|)ilEksa(.|#|)
ILEKSA	(.|#|)QilEksa(.|#|)
ILOYALNEM	(.|#|)ilO1alnEm(.|#|)
ILOYALNEM	(.|#|)QilO1alnEm(.|#|)
ILUMINACIJA	(.|#|)iluminatsija(.|#|)
ILUMINACIJA	(.|#|)Qiluminatsija(.|#|)
ILUMINĚRUJUCYM	(.|#|)iluminjirujuts1m(.|#|)
ILUMINĚRUJUCYM	(.|#|)Qiluminjirujuts1m(.|#|)
ILUSTROWANEJU	(.|#|)ilustrOwaneju(.|#|)
ILUSTROWANEJU	(.|#|)ilustrowaneju(.|#|)
ILUSTROWANEJU	(.|#|)QilustrOwaneju(.|#|)
ILUSTROWANEJU	(.|#|)Qilustrowaneju(.|#|)
ILUZIONIST	(.|#|)iluziOnist(.|#|)
ILUZIONIST	(.|#|)QiluziOnist(.|#|)
ILUZIONISTKA	(.|#|)iluziOnistka(.|#|)
ILUZIONISTKA	(.|#|)QiluziOnistka(.|#|)
IMAGINARNYM	(.|#|)imaginarn1m(.|#|)
IMAGINARNYM	(.|#|)Qimaginarn1m(.|#|)
IMIŠACH	(.|#|)imiSax(.|#|)
IMIŠACH	(.|#|)QimiSax(.|#|)
IMIŠU	(.|#|)imiSu(.|#|)
IMIŠU	(.|#|)QimiSu(.|#|)
IMJE	(.|#|)imjE(.|#|)
IMJE	(.|#|)QimjE(.|#|)
IMPLEMENTĚROWAŠO	(.|#|)implEmEntjirOwaSO(.|#|)
IMPLEMENTĚROWAŠO	(.|#|)implEmEntjirowaSO(.|#|)
IMPLEMENTĚROWAŠO	(.|#|)QimplEmEntjirOwaSO(.|#|)
IMPLEMENTĚROWAŠO	(.|#|)QimplEmEntjirowaSO(.|#|)
IMPONĚROWANEJE	(.|#|)impOnjirOwanejE(.|#|)
IMPONĚROWANEJE	(.|#|)impOnjirowanejE(.|#|)
IMPONĚROWANEJE	(.|#|)QimpOnjirOwanejE(.|#|)
IMPONĚROWANEJE	(.|#|)QimpOnjirowanejE(.|#|)
IMY	(.|#|)im1(.|#|)
IMY	(.|#|)imU(.|#|)
IMY	(.|#|)Qim1(.|#|)
IMY	(.|#|)QimU(.|#|)
IN	(.|#|)in(.|#|)
IN	(.|#|)Qin(.|#|)
INDEFINITNEGO	(.|#|)indEfinitnEgO(.|#|)
INDEFINITNEGO	(.|#|)QindEfinitnEgO(.|#|)
INDETERMINĚROWANYMI	(.|#|)indEtErminjirOwan1mi(.|#|)
INDETERMINĚROWANYMI	(.|#|)indEtErminjirowan1mi(.|#|)
INDETERMINĚROWANYMI	(.|#|)QindEtErminjirOwan1mi(.|#|)
INDETERMINĚROWANYMI	(.|#|)QindEtErminjirowan1mi(.|#|)
INDIANOM	(.|#|)indianOm(.|#|)
INDIANOM	(.|#|)QindianOm(.|#|)
INDICĚRUJUCEJE	(.|#|)inditsjirujutsejE(.|#|)
INDICĚRUJUCEJE	(.|#|)QinditsjirujutsejE(.|#|)
INDIGENEJ	(.|#|)indigEnej(.|#|)
INDIGENEJ	(.|#|)QindigEnej(.|#|)
INDISKIMI	(.|#|)indiskimi(.|#|)
INDISKIMI	(.|#|)Qindiskimi(.|#|)
INDIWIDUALNOSĆ	(.|#|)indiwidualnOstS(.|#|)
INDIWIDUALNOSĆ	(.|#|)indiwidualnOStS(.|#|)
INDIWIDUALNOSĆ	(.|#|)QindiwidualnOstS(.|#|)
INDIWIDUALNOSĆ	(.|#|)QindiwidualnOStS(.|#|)
INDOCHINU	(.|#|)indOxinu(.|#|)
INDOCHINU	(.|#|)QindOxinu(.|#|)
INDUSTRIELNYMI	(.|#|)industriEln1mi(.|#|)
INDUSTRIELNYMI	(.|#|)QindustriEln1mi(.|#|)
INFARKTAMI	(.|#|)infarktami(.|#|)
INFARKTAMI	(.|#|)Qinfarktami(.|#|)
INFICĚRUJUCEJU	(.|#|)infitsjirujutseju(.|#|)
INFICĚRUJUCEJU	(.|#|)Qinfitsjirujutseju(.|#|)
INFORMANŚE	(.|#|)infOrmanSE(.|#|)
INFORMANŚE	(.|#|)QinfOrmanSE(.|#|)
INFOSTOJNICOMA	(.|#|)infOstOjnitsOma(.|#|)
INFOSTOJNICOMA	(.|#|)QinfOstOjnitsOma(.|#|)
INFOŁOPJENI	(.|#|)infOwOpjEni(.|#|)
INFOŁOPJENI	(.|#|)infowOpjEni(.|#|)
INFOŁOPJENI	(.|#|)QinfOwOpjEni(.|#|)
INFOŁOPJENI	(.|#|)QinfowOpjEni(.|#|)
INFRAZUKA	(.|#|)infrazuka(.|#|)
INFRAZUKA	(.|#|)Qinfrazuka(.|#|)
INGWERAMI	(.|#|)ingwErami(.|#|)
INGWERAMI	(.|#|)QingwErami(.|#|)
INHERENTNEMU	(.|#|)inhErEntnEmu(.|#|)
INHERENTNEMU	(.|#|)QinhErEntnEmu(.|#|)
INHUMANJE	(.|#|)inhuman(j|)E(.|#|)
INHUMANJE	(.|#|)Qinhuman(j|)E(.|#|)
INICIĚRUJUCYCH	(.|#|)initsijirujuts1x(.|#|)
INICIĚRUJUCYCH	(.|#|)Qinitsijirujuts1x(.|#|)
INKASSOPOŁNOMÓCAMI	(.|#|)inkasOpOunOmUtsami(.|#|)
INKASSOPOŁNOMÓCAMI	(.|#|)inkasOpounOmUtsami(.|#|)
INKASSOPOŁNOMÓCAMI	(.|#|)QinkasOpOunOmUtsami(.|#|)
INKASSOPOŁNOMÓCAMI	(.|#|)QinkasOpounOmUtsami(.|#|)
INKASSOPROCEDURU	(.|#|)inkasOprOtsEduru(.|#|)
INKASSOPROCEDURU	(.|#|)QinkasOprOtsEduru(.|#|)
INKOGNITO	(.|#|)inkOgnitO(.|#|)
INKOGNITO	(.|#|)QinkOgnitO(.|#|)
INKONSEKWENTNOSĆ	(.|#|)inkOnsEkwEntnOstS(.|#|)
INKONSEKWENTNOSĆ	(.|#|)inkOnsEkwEntnOStS(.|#|)
INKONSEKWENTNOSĆ	(.|#|)QinkOnsEkwEntnOstS(.|#|)
INKONSEKWENTNOSĆ	(.|#|)QinkOnsEkwEntnOStS(.|#|)
INKONSEKWENTNY	(.|#|)inkOnsEkwEntn1(.|#|)
INKONSEKWENTNY	(.|#|)QinkOnsEkwEntn1(.|#|)
INKONSISTENTNEMU	(.|#|)inkOnsistEntnEmu(.|#|)
INKONSISTENTNEMU	(.|#|)QinkOnsistEntnEmu(.|#|)
INKULANTNJE	(.|#|)inkulantn(j|)E(.|#|)
INKULANTNJE	(.|#|)Qinkulantn(j|)E(.|#|)
INKULANTNYCH	(.|#|)inkulantn1x(.|#|)
INKULANTNYCH	(.|#|)Qinkulantn1x(.|#|)
INKWIZICISKIM	(.|#|)inkwizitsiskim(.|#|)
INKWIZICISKIM	(.|#|)Qinkwizitsiskim(.|#|)
INLINESKATOWACHMEJ	(.|#|)inlinEskatOwaxmej(.|#|)
INLINESKATOWACHMEJ	(.|#|)inlinEskatowaxmej(.|#|)
INLINESKATOWACHMEJ	(.|#|)QinlinEskatOwaxmej(.|#|)
INLINESKATOWACHMEJ	(.|#|)QinlinEskatowaxmej(.|#|)
INN	(.|#|)in(.|#|)
INN	(.|#|)Qin(.|#|)
INNAMI	(.|#|)inami(.|#|)
INNAMI	(.|#|)Qinami(.|#|)
INOFICIALNJE	(.|#|)inOfitsialn(j|)E(.|#|)
INOFICIALNJE	(.|#|)QinOfitsialn(j|)E(.|#|)
INSEMINACIJA	(.|#|)insEminatsija(.|#|)
INSEMINACIJA	(.|#|)QinsEminatsija(.|#|)
INSERĚROWA	(.|#|)insErjirOwa(.|#|)
INSERĚROWA	(.|#|)insErjirowa(.|#|)
INSERĚROWA	(.|#|)QinsErjirOwa(.|#|)
INSERĚROWA	(.|#|)QinsErjirowa(.|#|)
INSOLWENCA	(.|#|)insOlwEntsa(.|#|)
INSOLWENCA	(.|#|)QinsOlwEntsa(.|#|)
INSPIRATORKOMA	(.|#|)inspiratOrkOma(.|#|)
INSPIRATORKOMA	(.|#|)inspiratOrkUma(.|#|)
INSPIRATORKOMA	(.|#|)QinspiratOrkOma(.|#|)
INSPIRATORKOMA	(.|#|)QinspiratOrkUma(.|#|)
INSTABILNY	(.|#|)instabiln1(.|#|)
INSTABILNY	(.|#|)Qinstabiln1(.|#|)
INSTANCOWYMI	(.|#|)instantsOw1mi(.|#|)
INSTANCOWYMI	(.|#|)instantsow1mi(.|#|)
INSTANCOWYMI	(.|#|)QinstantsOw1mi(.|#|)
INSTANCOWYMI	(.|#|)Qinstantsow1mi(.|#|)
INSTITUCIONALIZĚRUJMEJ	(.|#|)institutsiOnalizjirujmej(.|#|)
INSTITUCIONALIZĚRUJMEJ	(.|#|)QinstitutsiOnalizjirujmej(.|#|)
INSTITUCIONELNY	(.|#|)institutsiOnEln1(.|#|)
INSTITUCIONELNY	(.|#|)QinstitutsiOnEln1(.|#|)
INSTITUTU	(.|#|)institutu(.|#|)
INSTITUTU	(.|#|)Qinstitutu(.|#|)
INSTRUMENTALNEMU	(.|#|)instrumEntalnEmu(.|#|)
INSTRUMENTALNEMU	(.|#|)QinstrumEntalnEmu(.|#|)
INSUFICIENTNJE	(.|#|)insufitsiEntn(j|)E(.|#|)
INSUFICIENTNJE	(.|#|)QinsufitsiEntn(j|)E(.|#|)
INSUFICIENTNY	(.|#|)insufitsiEntn1(.|#|)
INSUFICIENTNY	(.|#|)QinsufitsiEntn1(.|#|)
INTEGRALNY	(.|#|)intEgraln1(.|#|)
INTEGRALNY	(.|#|)QintEgraln1(.|#|)
INTEGRITAM	(.|#|)intEgritam(.|#|)
INTEGRITAM	(.|#|)QintEgritam(.|#|)
INTELIGENTNY	(.|#|)intEligEntn1(.|#|)
INTELIGENTNY	(.|#|)QintEligEntn1(.|#|)
INTERAKCIJI	(.|#|)intEraktsiji(.|#|)
INTERAKCIJI	(.|#|)intEraktsij(.|#|)
INTERAKCIJI	(.|#|)QintEraktsiji(.|#|)
INTERAKCIJI	(.|#|)QintEraktsij(.|#|)
INTERCITYJE	(.|#|)intErtsit1jE(.|#|)
INTERCITYJE	(.|#|)QintErtsit1jE(.|#|)
INTERCONALNYMA	(.|#|)intErtsOnaln1ma(.|#|)
INTERCONALNYMA	(.|#|)QintErtsOnaln1ma(.|#|)
INTERNALIZĚROWANEJU	(.|#|)intErnalizjirOwaneju(.|#|)
INTERNALIZĚROWANEJU	(.|#|)intErnalizjirowaneju(.|#|)
INTERNALIZĚROWANEJU	(.|#|)QintErnalizjirOwaneju(.|#|)
INTERNALIZĚROWANEJU	(.|#|)QintErnalizjirowaneju(.|#|)
INTERPRETOWALI	(.|#|)intErprEtOwali(.|#|)
INTERPRETOWALI	(.|#|)intErprEtowali(.|#|)
INTERPRETOWALI	(.|#|)QintErprEtOwali(.|#|)
INTERPRETOWALI	(.|#|)QintErprEtowali(.|#|)
INTERRELIGIOZNEMU	(.|#|)intErEligiOznEmu(.|#|)
INTERRELIGIOZNEMU	(.|#|)QintErEligiOznEmu(.|#|)
INTERROGATIWNU	(.|#|)intErOgatiunu(.|#|)
INTERROGATIWNU	(.|#|)QintErOgatiunu(.|#|)
INTERWIEWY	(.|#|)intErwiEw1(.|#|)
INTERWIEWY	(.|#|)QintErwiEw1(.|#|)
INTREGANTNEJ	(.|#|)intrEgantnej(.|#|)
INTREGANTNEJ	(.|#|)QintrEgantnej(.|#|)
INWALIDIZĚROWANEMU	(.|#|)inwalidizjirOwanEmu(.|#|)
INWALIDIZĚROWANEMU	(.|#|)inwalidizjirowanEmu(.|#|)
INWALIDIZĚROWANEMU	(.|#|)QinwalidizjirOwanEmu(.|#|)
INWALIDIZĚROWANEMU	(.|#|)QinwalidizjirowanEmu(.|#|)
INWARIABELNYM	(.|#|)inwariabEln1m(.|#|)
INWARIABELNYM	(.|#|)QinwariabEln1m(.|#|)
INWAZISKU	(.|#|)inwazisku(.|#|)
INWAZISKU	(.|#|)Qinwazisku(.|#|)
INWESTIWNYMI	(.|#|)inwEstiun1mi(.|#|)
INWESTIWNYMI	(.|#|)QinwEstiun1mi(.|#|)
IONIZĚRUJUCEJU	(.|#|)iOnizjirujutseju(.|#|)
IONIZĚRUJUCEJU	(.|#|)QiOnizjirujutseju(.|#|)
IP	(.|#|)ip(.|#|)
IP	(.|#|)Qip(.|#|)
IRAKSKEM	(.|#|)irakskEm(.|#|)
IRAKSKEM	(.|#|)QirakskEm(.|#|)
IRAŃSKU	(.|#|)irajnsku(.|#|)
IRAŃSKU	(.|#|)Qirajnsku(.|#|)
IRCE	(.|#|)irtsE(.|#|)
IRCE	(.|#|)QirtsE(.|#|)
IRISOWU	(.|#|)irisOwu(.|#|)
IRISOWU	(.|#|)irisowu(.|#|)
IRISOWU	(.|#|)QirisOwu(.|#|)
IRISOWU	(.|#|)Qirisowu(.|#|)
IRITĚROWACHU	(.|#|)iritjirOwaxu(.|#|)
IRITĚROWACHU	(.|#|)iritjirowaxu(.|#|)
IRITĚROWACHU	(.|#|)QiritjirOwaxu(.|#|)
IRITĚROWACHU	(.|#|)Qiritjirowaxu(.|#|)
IRJE	(.|#|)ir(j|)E(.|#|)
IRJE	(.|#|)Qir(j|)E(.|#|)
IRKOWU	(.|#|)irkOwu(.|#|)
IRKOWU	(.|#|)irkowu(.|#|)
IRKOWU	(.|#|)QirkOwu(.|#|)
IRKOWU	(.|#|)Qirkowu(.|#|)
IRSKU	(.|#|)irsku(.|#|)
IRSKU	(.|#|)Qirsku(.|#|)
IRU	(.|#|)iru(.|#|)
IRU	(.|#|)Qiru(.|#|)
IRY	(.|#|)ir1(.|#|)
IRY	(.|#|)Qir1(.|#|)
IRŠĆINY	(.|#|)irStSin1(.|#|)
IRŠĆINY	(.|#|)QirStSin1(.|#|)
ISDNPŚIZAMKNJENJE	(.|#|)isdnpSizamkn(j|)En(j|)E(.|#|)
ISDNPŚIZAMKNJENJE	(.|#|)QisdnpSizamkn(j|)En(j|)E(.|#|)
ISLAMISĆE	(.|#|)islamistSE(.|#|)
ISLAMISĆE	(.|#|)QislamistSE(.|#|)
ISLAMIZACIJA	(.|#|)islamizatsija(.|#|)
ISLAMIZACIJA	(.|#|)Qislamizatsija(.|#|)
ISLAMIZĚROWAŠO	(.|#|)islamizjirOwaSO(.|#|)
ISLAMIZĚROWAŠO	(.|#|)islamizjirowaSO(.|#|)
ISLAMIZĚROWAŠO	(.|#|)QislamizjirOwaSO(.|#|)
ISLAMIZĚROWAŠO	(.|#|)QislamizjirowaSO(.|#|)
ISLANDARCE	(.|#|)islandartsE(.|#|)
ISLANDARCE	(.|#|)QislandartsE(.|#|)
ISLANDSKI	(.|#|)islantski(.|#|)
ISLANDSKI	(.|#|)Qislantski(.|#|)
ISLANDŠĆINA	(.|#|)islantStSina(.|#|)
ISLANDŠĆINA	(.|#|)QislantStSina(.|#|)
ISLANDŠĆINY	(.|#|)islantStSin1(.|#|)
ISLANDŠĆINY	(.|#|)QislantStSin1(.|#|)
ISRAELI	(.|#|)israEli(.|#|)
ISRAELI	(.|#|)QisraEli(.|#|)
ISTANBULU	(.|#|)istanbulu(.|#|)
ISTANBULU	(.|#|)Qistanbulu(.|#|)
ITALIANARKAM	(.|#|)italianarkam(.|#|)
ITALIANARKAM	(.|#|)Qitalianarkam(.|#|)
ITALIANAŔKAM	(.|#|)italianarkam(.|#|)
ITALIANAŔKAM	(.|#|)Qitalianarkam(.|#|)
ITALSKEJU	(.|#|)italskeju(.|#|)
ITALSKEJU	(.|#|)Qitalskeju(.|#|)
ITALŠĆINOW	(.|#|)italStSinO(.|#|)
ITALŠĆINOW	(.|#|)italStSino(.|#|)
ITALŠĆINOW	(.|#|)QitalStSinO(.|#|)
ITALŠĆINOW	(.|#|)QitalStSino(.|#|)
IZAACE	(.|#|)izatsE(.|#|)
IZAACE	(.|#|)QizatsE(.|#|)
IZAKA	(.|#|)izaka(.|#|)
IZAKA	(.|#|)Qizaka(.|#|)
IZOLĚROWAŠO	(.|#|)izOljirOwaSO(.|#|)
IZOLĚROWAŠO	(.|#|)izOljirowaSO(.|#|)
IZOLĚROWAŠO	(.|#|)QizOljirOwaSO(.|#|)
IZOLĚROWAŠO	(.|#|)QizOljirowaSO(.|#|)
JA	(.|#|)ja(.|#|)
JABEŔ	(.|#|)jabEr(.|#|)
JABRIKATY	(.|#|)jabrikat1(.|#|)
JABŁONNA	(.|#|)jabwOna(.|#|)
JABŁONNEGO	(.|#|)jabwOnEgO(.|#|)
JABŁOŃKI	(.|#|)jabwOjnki(.|#|)
JABŁOŃKOW	(.|#|)jabwOjnkO(.|#|)
JABŁOŃKOW	(.|#|)jabwOjnko(.|#|)
JABŁOŃSCYNYCH	(.|#|)jabwOjnsts1n1x(.|#|)
JABŁOŃSKEJE	(.|#|)jabwOjnskejE(.|#|)
JABŁOŃSKI	(.|#|)jabwOjnski(.|#|)
JABŁUCCE	(.|#|)jabwutsE(.|#|)
JABŁUCKO	(.|#|)jabwutskO(.|#|)
JABŁUCYNEJU	(.|#|)jabwuts1neju(.|#|)
JABŁUŠKU	(.|#|)jabwuSku(.|#|)
JACHAŚ	(.|#|)jaxaS(.|#|)
JACHLECE	(.|#|)jaxlEtsE(.|#|)
JACHLIWEGO	(.|#|)jaxliwEgO(.|#|)
JACHŁEGO	(.|#|)jaxwEgO(.|#|)
JACHŁU	(.|#|)jaxwu(.|#|)
JACKOLICKOWEM	(.|#|)jatskOlitskOwEm(.|#|)
JACKOLICKOWEM	(.|#|)jatskOlitskowEm(.|#|)
JACLAMI	(.|#|)jatslami(.|#|)
